nombre,codigo,descripcion,tipo_unidad,tipo
CODEO ESPIGA CED 32 X 45 PLASTIGAMA,H0505,CODEO ESPIGA CED 32 X 45 PLASTIGAMA,UND,Inventario
CODO ESPIGA CED 32 X 90 PLASTIGAMA,H0506,CODO ESPIGA CED 32 X 90 PLASTIGAMA,UND,Inventario
VALVULA PIE BR 1 1/4 PEDROLLO,H0507,VALVULA PIE BR 1 1/4 PEDROLLO,UND,Inventario
ABRAZADERA EMT 1/2 LUXAR,H0508,ABRAZADERA EMT 1/2 LUXAR,UND,Inventario
ABRAZADERA EMT 1/2 LUXAR,H0509,ABRAZADERA EMT 1/2 LUXAR,UND,Inventario
PEGAMENTO PVC ARROW NAR 236 ML 1-16,H0510,PEGAMENTO PVC ARROW NAR 236 ML 1-16,UND,Inventario
ADAPTADOR ESPIGA CED 40 X 1 1/4H,H0511,ADAPTADOR ESPIGA CED 40 X 1 1/4H,UND,Inventario
NEPLO POLIP 1 1/4  CON CINTURA,H0512,NEPLO POLIP 1 1/4  CON CINTURA,UND,Inventario
BOMBA SUMERGIBLE 1 HP 110 V,H0513,BOMBA SUMERGIBLE 1 HP 110 V,UND,Inventario
PISTOLA DE GRAVEDAD 45 PSI TRUPER RETOQUE,H0514,PISTOLA DE GRAVEDAD 45 PSI TRUPER RETOQUE,UND,Inventario
PINTURA TAN ALUMINO 1/32,H0515,PINTURA TAN ALUMINO 1/32,UND,Inventario
REJILLA DE ALUMINIO 50 MM REDO,H0516,REJILLA DE ALUMINIO 50 MM REDO,UND,Inventario
CANALETA ISA DEXSON 13X07X2 MT BLANCA,H0517,CANALETA ISA DEXSON 13X07X2 MT BLANCA,UND,Inventario
SIKA CARTUCHO SIKASIL BLANCO,H0518,SIKA CARTUCHO SIKASIL BLANCO,UND,Inventario
"TEE MECANICA RANUR. RECOMB 2 1/2X 1 1/2""",H0519,"TEE MECANICA RANUR. RECOMB 2 1/2X 1 1/2""",UND,Inventario
REDUCCION BRONCE DE 1/2 X 1/4,H0520,REDUCCION BRONCE DE 1/2 X 1/4,UND,Inventario
CLAVO DE ACERO CHINO,H0521,CLAVO DE ACERO CHINO,UND,Inventario
ALAMBRE GALVANIZADO,H0522,ALAMBRE GALVANIZADO,UND,Inventario
BUSHIN HG 1 1/4 X 3/4,H0523,BUSHIN HG 1 1/4 X 3/4,UND,Inventario
BUSHIN HN 3/4X1/2,H0524,BUSHIN HN 3/4X1/2,UND,Inventario
CODO HN 90 X 1 1/4,H0525,CODO HN 90 X 1 1/4,UND,Inventario
TINNER ALQUIDICO,H0526,TINNER ALQUIDICO,UND,Inventario
ESPONJA NEGRA,H0527,ESPONJA NEGRA,UND,Inventario
CODO AC PS C40 90X1 1/2,H0528,CODO AC PS C40 90X1 1/2,UND,Inventario
REDUCCION HN RANURADA ROSCABLE RECOMB,H0529,REDUCCION HN RANURADA ROSCABLE RECOMB,UND,Inventario
TAPON H 50 MM PLASTIGAMA,H0530,TAPON H 50 MM PLASTIGAMA,UND,Inventario
CODO PVC 110MM x 90 DESAGUE RIVAL,H0531,CODO PVC 110MM x 90 DESAGUE RIVAL,UND,Inventario
CODO PVC 50MM X 90 DESAGUE RIVAL,H0532,CODO PVC 50MM X 90 DESAGUE RIVAL,UND,Inventario
REGULADOR IRAB40KG 1/4 X 3/8 902 X MANOMETRO,H0533,REGULADOR IRAB40KG 1/4 X 3/8 902 X MANOMETRO,UND,Inventario
"ESPATULA 2 1/2"" STANLEY",H0534,"ESPATULA 2 1/2"" STANLEY",UND,Inventario
DETERGENTE 340 GR FLORAL DEJA,H0535,DETERGENTE 340 GR FLORAL DEJA,UND,Inventario
LIJA DE AGUA 150,H0536,LIJA DE AGUA 150,UND,Inventario
VALVULA PVC ESFERA GRIS AZUL 63 MM COMPACTA AB,H0537,VALVULA PVC ESFERA GRIS AZUL 63 MM COMPACTA AB,UND,Inventario
REDUCTOR SOL 75 MM X 63 MM ASTORE,H0538,REDUCTOR SOL 75 MM X 63 MM ASTORE,UND,Inventario
TEE PVC 110 MM,H0539,TEE PVC 110 MM,UND,Inventario
HORMIPEGA PREMIUM VALV,H0540,HORMIPEGA PREMIUM VALV,UND,Inventario
VALVULA FILTRA 1/2 GENEBRE BRONCE,H0541,VALVULA FILTRA 1/2 GENEBRE BRONCE,UND,Inventario
VALVULA FILTRA 1/2 ITAP,H0542,VALVULA FILTRA 1/2 ITAP,UND,Inventario
VALVULA ESFERA ROSCABLE AI 1 1/4,H0543,VALVULA ESFERA ROSCABLE AI 1 1/4,UND,Inventario
VALVULA ESFERA RNIBCO P/AMARILLA TFP 600A 1/2,H0544,VALVULA ESFERA RNIBCO P/AMARILLA TFP 600A 1/2,UND,Inventario
"VALVULA ESFERA AI ROSCABLE 2 CPS 1/2""",H0545,"VALVULA ESFERA AI ROSCABLE 2 CPS 1/2""",UND,Inventario
BOMBA WATERPRO 1.5 HP BTP-110 T/PIRAÑA,H0546,BOMBA WATERPRO 1.5 HP BTP-110 T/PIRAÑA,UND,Inventario
ADAPTADOR TF H 25X1/2 TIGRE,H0547,ADAPTADOR TF H 25X1/2 TIGRE,UND,Inventario
VALVULA PVC BOLA P 1 1/2,H0548,VALVULA PVC BOLA P 1 1/2,UND,Inventario
BIJE RED SOLD 1 1/2 X 1 1/4 SCH 40 TIGRE,H0549,BIJE RED SOLD 1 1/2 X 1 1/4 SCH 40 TIGRE,UND,Inventario
CODO PVC 90 DESAGUE 160 MM RIVAL,H0550,CODO PVC 90 DESAGUE 160 MM RIVAL,UND,Inventario
VALVULA CHECK YORK 103 BR 3-4,H0551,VALVULA CHECK YORK 103 BR 3-4,UND,Inventario
ADAPTADOR TF M 25 MM X 3/4,H0552,ADAPTADOR TF M 25 MM X 3/4,UND,Inventario
TORNILLO AUTOPERFORANTE 1X8,H0553,TORNILLO AUTOPERFORANTE 1X8,UND,Inventario
VALVULA ANGULAR BR. GIACOMONI HN NPTXNST ULFM 1 1/2,H0554,VALVULA ANGULAR BR. GIACOMONI HN NPTXNST ULFM 1 1/2,UND,Inventario
NIPLE BR 1 1/2 NPT X 1 1/2 NST,H0555,NIPLE BR 1 1/2 NPT X 1 1/2 NST,UND,Inventario
MANGUERA CONTRAINCENDIO CH DOBLE CHAQUETA 15 MT X 1 1/2,H0556,MANGUERA CONTRAINCENDIO CH DOBLE CHAQUETA 15 MT X 1 1/2,UND,Inventario
PITON BRONCE PARA MANGUERA NST 1 1/2,H0557,PITON BRONCE PARA MANGUERA NST 1 1/2,UND,Inventario
HACHA DE BOMBERO,H0558,HACHA DE BOMBERO,UND,Inventario
EXTINTOR 10 LBS PQS,H0559,EXTINTOR 10 LBS PQS,UND,Inventario
BLOWER INDUSTRIAL 0.5 HP 120/220 V HURACAN,H0560,BLOWER INDUSTRIAL 0.5 HP 120/220 V HURACAN,UND,Inventario
VALVULA DE BOLA PEGABLE 1 1/2 ,H0561,VALVULA DE BOLA PEGABLE 1 1/2 ,UND,Inventario
REDUCTOR DE 1 1/2 X 1 1/4 LASCO,H0562,REDUCTOR DE 1 1/2 X 1 1/4 LASCO,UND,Inventario
"VALVULA DE BOLA PEGABLE 1""",H0563,"VALVULA DE BOLA PEGABLE 1""",UND,Inventario
ADAPTADOR H 3/4 LASCO,H0564,ADAPTADOR H 3/4 LASCO,UND,Inventario
"TUBO 1"" CED 40 6 METROS",H0565,"TUBO 1"" CED 40 6 METROS",UND,Inventario
CADENA GALVANIZADA 1/8,H0566,CADENA GALVANIZADA 1/8,UND,Inventario
CANDADO DE HIERRO 63 MM,H0567,CANDADO DE HIERRO 63 MM,UND,Inventario
BISAGRA DORADA,H0568,BISAGRA DORADA,UND,Inventario
CANALETA BLANCA 22X10,H0569,CANALETA BLANCA 22X10,UND,Inventario
TOMACORRIENTE DOBLE T AM 2P,H0570,TOMACORRIENTE DOBLE T AM 2P,UND,Inventario
DUCTO DE ALUMINIO PARA VENTILACION,H0571,DUCTO DE ALUMINIO PARA VENTILACION,UND,Inventario
REJILLA VENTILACION 5 X10 ,H0572,REJILLA VENTILACION 5 X10 ,UND,Inventario
TUBO PVC VENTILACION 50 MMX3MTS,H0573,TUBO PVC VENTILACION 50 MMX3MTS,UND,Inventario
TUBO PVC 75MM VENTILACION,H0574,TUBO PVC 75MM VENTILACION,UND,Inventario
TUBO PVC 110MM VENTILACION,H0575,TUBO PVC 110MM VENTILACION,UND,Inventario
TUBO PVC 150MM VENTILACION,H0576,TUBO PVC 150MM VENTILACION,UND,Inventario
TUBO BLANCO CED 40 1 1/4 X 6 METROS,H0577,TUBO BLANCO CED 40 1 1/4 X 6 METROS,UND,Inventario
PEGAMENTO PVC ARROW 118 ML,H0578,PEGAMENTO PVC ARROW 118 ML,UND,Inventario
CINTA PAPEL ALUMINIO ADHESIVO,H0579,CINTA PAPEL ALUMINIO ADHESIVO,UND,Inventario
PILA ENERGIZER,H0580,PILA ENERGIZER,UND,Inventario
CABLE RIGIDO N0. 50 ROJO,H0581,CABLE RIGIDO N0. 50 ROJO,UND,Inventario
CLAVO DE ACERO CHINO 2 1/2,H0582,CLAVO DE ACERO CHINO 2 1/2,UND,Inventario
CLAVO DE ACERO CHINO  1 1/2,H0583,CLAVO DE ACERO CHINO  1 1/2,UND,Inventario
BOQUILLA DE BLOWER DAMIPLAST,H0584,BOQUILLA DE BLOWER DAMIPLAST,UND,Inventario
"VALVULA FILTRA 1"" GENEBRE",H0585,"VALVULA FILTRA 1"" GENEBRE",UND,Inventario
TAPON PEGABLE 1 1/4 H LASCO,H0586,TAPON PEGABLE 1 1/4 H LASCO,UND,Inventario
VALVULA CHECK SIAMESA 4 X 2 1/2  DOBLE,H0587,VALVULA CHECK SIAMESA 4 X 2 1/2  DOBLE,UND,Inventario
REDUCTOR PVC EXC DESAGUE 75X50 MM RIVAL,H0588,REDUCTOR PVC EXC DESAGUE 75X50 MM RIVAL,UND,Inventario
"VALVULA CHECK RANUR FLOWCOM 350 A 2 1/2""",H0589,"VALVULA CHECK RANUR FLOWCOM 350 A 2 1/2""",UND,Inventario
"BOMBA AGR SUMER UPM 4/3 1.5HP 220V 1.25 M 6"" PEDROLLO",H0590,"BOMBA AGR SUMER UPM 4/3 1.5HP 220V 1.25 M 6"" PEDROLLO",UND,Inventario
MOTOR SUMERGIBLE 4.4ZPC55P2-5.5HP,H0591,MOTOR SUMERGIBLE 4.4ZPC55P2-5.5HP,UND,Inventario
HIDRAULICA SUMERGIBLE 4SR90G/50 5.5HP 2 MOTOR SUMERGIBLE DE 4,H0592,HIDRAULICA SUMERGIBLE 4SR90G/50 5.5HP 2 MOTOR SUMERGIBLE DE 4,UND,Inventario
"TUBO PVC SCH-40 2""X6M 280 PSI EXT/LISOS",H0593,"TUBO PVC SCH-40 2""X6M 280 PSI EXT/LISOS",UND,Inventario
PEGA WELD ON 16 FL 473 ML NARANJA,H0594,PEGA WELD ON 16 FL 473 ML NARANJA,UND,Inventario
"CODO PVC 45 CED 40 DE 2""",H0595,"CODO PVC 45 CED 40 DE 2""",UND,Inventario
"CODO PVC 90 CED 40 DE 2""",H0596,"CODO PVC 90 CED 40 DE 2""",UND,Inventario
"TEE PVC CED 40 2 "" GOL",H0597,"TEE PVC CED 40 2 "" GOL",UND,Inventario
"ADAPTADOR PVC M 2"" CED 40",H0598,"ADAPTADOR PVC M 2"" CED 40",UND,Inventario
"UNIVERSAL PVC 2"" DURA",H0599,"UNIVERSAL PVC 2"" DURA",UND,Inventario
"VALVULA BOLA VIENNA 216 2""",H0600,"VALVULA BOLA VIENNA 216 2""",UND,Inventario
"VAVULA CHECK YORK 103 BR 1 1/4""",H0601,"VAVULA CHECK YORK 103 BR 1 1/4""",UND,Inventario
"VAVULA CHECK YORK 103 BR 2""",H0602,"VAVULA CHECK YORK 103 BR 2""",UND,Inventario
TANQUE HID TD-300/10 VERTICAL INM,H0603,TANQUE HID TD-300/10 VERTICAL INM,UND,Inventario
ADAPTADOR PEGA 2 H LASCO,H0604,ADAPTADOR PEGA 2 H LASCO,UND,Inventario
NUDO PVC PEGA 1 1/4,H0605,NUDO PVC PEGA 1 1/4,UND,Inventario
"BUSHING PEGA  1 1/4 X 1"" LASCO",H0606,"BUSHING PEGA  1 1/4 X 1"" LASCO",UND,Inventario
TEE PEGA 1 1/4  LASCO,H0607,TEE PEGA 1 1/4  LASCO,UND,Inventario
BUSHING PEGA 1 1/4 X 1/2 LASCO,H0608,BUSHING PEGA 1 1/4 X 1/2 LASCO,UND,Inventario
ADAPTADOR PEGA 1 1/2  LASCO,H0609,ADAPTADOR PEGA 1 1/2  LASCO,UND,Inventario
BUSHING PEGABLE 1 1/2X 1 1/4 LASCO,H0610,BUSHING PEGABLE 1 1/2X 1 1/4 LASCO,UND,Inventario
"NEPLO AC CED 40  2 X 8""",H0611,"NEPLO AC CED 40  2 X 8""",UND,Inventario
"BUSHING HN ULFM 4"" X 2 1/2""",H0612,"BUSHING HN ULFM 4"" X 2 1/2""",UND,Inventario
"VALVULA ESFERA AI ROSCABLE 2 CPS 1""",H0613,"VALVULA ESFERA AI ROSCABLE 2 CPS 1""",UND,Inventario
RIEL METAL 40X20 3 METROS,H0614,RIEL METAL 40X20 3 METROS,UND,Inventario
"ABRAZADERA PERA 2 1/2""",H0615,"ABRAZADERA PERA 2 1/2""",UND,Inventario
ADAPTADOR PEGA 1 1/4 M LASCO,H0616,ADAPTADOR PEGA 1 1/4 M LASCO,UND,Inventario
NEPLO POLIP 1/2 C CINT PMEX,H0617,NEPLO POLIP 1/2 C CINT PMEX,UND,Inventario
UNION DE BRONCE DE 1/2X1/2XM-H CACHIMBA,H0618,UNION DE BRONCE DE 1/2X1/2XM-H CACHIMBA,UND,Inventario
ADAPTADOR PVC M ROSCABLE 50X1 1/2,H0619,ADAPTADOR PVC M ROSCABLE 50X1 1/2,UND,Inventario
TUBO PVC 50 MM X 6METROS,H0620,TUBO PVC 50 MM X 6METROS,UND,Inventario
CODO PVC 45 PRESION 50 MM,H0621,CODO PVC 45 PRESION 50 MM,UND,Inventario
CODO PVC 90 PRESION 50 MM,H0622,CODO PVC 90 PRESION 50 MM,UND,Inventario
YEE PVC 50MM DESAGUE RIVAL,H0623,YEE PVC 50MM DESAGUE RIVAL,UND,Inventario
BOMBA SUMERGIBLE TRUPER 1.5 HP 110 V TRUPER,H0624,BOMBA SUMERGIBLE TRUPER 1.5 HP 110 V TRUPER,UND,Inventario
UNION BRONCE 1/2X1/2 MH CACHIMBA,H0625,UNION BRONCE 1/2X1/2 MH CACHIMBA,UND,Inventario
"BUSHING HN ULFM 1 1/4""X1""",H0626,"BUSHING HN ULFM 1 1/4""X1""",UND,Inventario
SIFON PVC 110MM DESAGUE RIVAL,H0627,SIFON PVC 110MM DESAGUE RIVAL,UND,Inventario
SIFON PVC 75MM DESAGUE RIVAL,H0628,SIFON PVC 75MM DESAGUE RIVAL,UND,Inventario
UNION PVC DESAGUE 50 MM RIVAL,H0629,UNION PVC DESAGUE 50 MM RIVAL,UND,Inventario
UNION PVC DESAGUE 75 MM RIVAL,H0630,UNION PVC DESAGUE 75 MM RIVAL,UND,Inventario
SIFON PVC 50 MM DESAGUE RIVAL,H0631,SIFON PVC 50 MM DESAGUE RIVAL,UND,Inventario
POLILIMPIA 125 CC,H0632,POLILIMPIA 125 CC,UND,Inventario
KALIPEGA 946 CC LITRO,H0633,KALIPEGA 946 CC LITRO,UND,Inventario
KALIPEGA 500 CC ,H0634,KALIPEGA 500 CC ,UND,Inventario
NUDO PEGA 1/2 LASCO,H0635,NUDO PEGA 1/2 LASCO,UND,Inventario
TEE PVC CED40 PEGABLE TIGRE,H0636,TEE PVC CED40 PEGABLE TIGRE,UND,Inventario
BUJE PVC C40 3/4X1/2 DURA,H0637,BUJE PVC C40 3/4X1/2 DURA,UND,Inventario
ADAPTADOR PVC H 3/4 CED40 ,H0638,ADAPTADOR PVC H 3/4 CED40 ,UND,Inventario
VALVULA REDUCTORA P/AGUA 3/4 GENEBRE,H0639,VALVULA REDUCTORA P/AGUA 3/4 GENEBRE,UND,Inventario
ADAPATADOR PEGABLE 3/4 M LASCO,H0640,ADAPATADOR PEGABLE 3/4 M LASCO,UND,Inventario
DUCHA MONOCOMANDO FV FLOW E108/B3 CR ,H0641,DUCHA MONOCOMANDO FV FLOW E108/B3 CR ,UND,Inventario
SUELDA FRIO JUST COOPER JACO,H0642,SUELDA FRIO JUST COOPER JACO,UND,Inventario
PUENTE TF VESBO 32 MM,H0643,PUENTE TF VESBO 32 MM,UND,Inventario
PUENTE TF VESBO 25 MM CORTO,H0644,PUENTE TF VESBO 25 MM CORTO,UND,Inventario
CODO PEGABLE 1/2X90,H0645,CODO PEGABLE 1/2X90,UND,Inventario
ADAPTADOR PEGABLE 1/2 MACHO,H0646,ADAPTADOR PEGABLE 1/2 MACHO,UND,Inventario
CUELLO FLEX TUBER,H0647,CUELLO FLEX TUBER,UND,Inventario
CINTA EMPALME ADHESIVA,H0648,CINTA EMPALME ADHESIVA,UND,Inventario
PINTURA REFLECTIONS,H0649,PINTURA REFLECTIONS,UND,Inventario
"ROLLER BRUSH 8"" MANGO",H0650,"ROLLER BRUSH 8"" MANGO",UND,Inventario
TORNILLO EMB P-AGLON,H0651,TORNILLO EMB P-AGLON,UND,Inventario
UNIVERSAL SOLDABLE 50 MM HID,H0652,UNIVERSAL SOLDABLE 50 MM HID,UND,Inventario
NUDO UNIVERSAL INOX DE 1 1/2” ,H0653,NUDO UNIVERSAL INOX DE 1 1/2” ,UND,Inventario
TUBO PVC SILVER 75 MM X 3 M RIVAL,H0654,TUBO PVC SILVER 75 MM X 3 M RIVAL,UND,Inventario
"BROCA P CONCRETO 3/8""X6""",H0655,"BROCA P CONCRETO 3/8""X6""",UND,Inventario
POLYEXPANDED BARRA 40 MM GRIS,H0656,POLYEXPANDED BARRA 40 MM GRIS,UND,Inventario
"UNION HN ULFM 1 1/4""",H0657,"UNION HN ULFM 1 1/4""",UND,Inventario
"TUBO AC CED40 3""X6METROS",H0658,"TUBO AC CED40 3""X6METROS",UND,Inventario
"CODO HN RANURADO 90X3""",H0659,"CODO HN RANURADO 90X3""",UND,Inventario
"UNION RANURADA FLEXIBLE 3""",H0660,"UNION RANURADA FLEXIBLE 3""",UND,Inventario
"TEE MECANICA  ROSCABLE 3""X 1 1/2",H0661,"TEE MECANICA  ROSCABLE 3""X 1 1/2",UND,Inventario
"BUSHING HG ULFM 1 1/2 X 1 1/4""",H0662,"BUSHING HG ULFM 1 1/2 X 1 1/4""",UND,Inventario
"COLGADOR AG PERA ULFM 3""",H0663,"COLGADOR AG PERA ULFM 3""",UND,Inventario
CAJETIN RECTANGULAR DEPLASTICO,H0664,CAJETIN RECTANGULAR DEPLASTICO,UND,Inventario
TIJERA TF MECANICA P-CORTE,H0665,TIJERA TF MECANICA P-CORTE,UND,Inventario
SIFON PVC 1 1/2 CON PLACA B,H0666,SIFON PVC 1 1/2 CON PLACA B,UND,Inventario
CHUPON UNIVERSAL 4 EN 1,H0667,CHUPON UNIVERSAL 4 EN 1,UND,Inventario
CANASTILLA PLASTICA DE 1 1/2 YETKA COMPLETO,H0668,CANASTILLA PLASTICA DE 1 1/2 YETKA COMPLETO,UND,Inventario
"CODO HG 150 ULFM 90X 1  1/4""",H0669,"CODO HG 150 ULFM 90X 1  1/4""",UND,Inventario
"TEE HN ULFM 3""",H0670,"TEE HN ULFM 3""",UND,Inventario
SIFON DE 1 1/2 PARA COCINA CON FREGADERO CON REBOSADERO,H0671,SIFON DE 1 1/2 PARA COCINA CON FREGADERO CON REBOSADERO,UND,Inventario
ESPUMA DE MULTIPOSICION,H0672,ESPUMA DE MULTIPOSICION,UND,Inventario
NEPLO INOX 1X4,H0673,NEPLO INOX 1X4,UND,Inventario
"CODO HN 150 ULFM 90X1/2""",H0674,"CODO HN 150 ULFM 90X1/2""",UND,Inventario
TUERCA DE ACERO G5 3/8 HILO 16,H0675,TUERCA DE ACERO G5 3/8 HILO 16,UND,Inventario
MASILLA PARA GYPSUM,H0676,MASILLA PARA GYPSUM,UND,Inventario
UNION POLIP 1/2 M-H PMEX,H0677,UNION POLIP 1/2 M-H PMEX,UND,Inventario
KALIPEGA 125 CC,H0678,KALIPEGA 125 CC,UND,Inventario
"GUANTE DE CUERO GRIS 20"" PARA SOLDAR",H0679,"GUANTE DE CUERO GRIS 20"" PARA SOLDAR",UND,Inventario
NUDO ESPIGA 50 GOL,H0680,NUDO ESPIGA 50 GOL,UND,Inventario
LLAVE DE CHORRO FV,H0681,LLAVE DE CHORRO FV,UND,Inventario
PERNO ANCLAJE ZINC,H0682,PERNO ANCLAJE ZINC,UND,Inventario
EQUIPO DE PRESURIZACION ELECTRONICO,H0683,EQUIPO DE PRESURIZACION ELECTRONICO,UND,Inventario
"UNION HG THAI 1 1/4""",H0684,"UNION HG THAI 1 1/4""",UND,Inventario
"CODO HN RANURADO RECOMB ULFM 45X3""",H0685,"CODO HN RANURADO RECOMB ULFM 45X3""",UND,Inventario
"PLATINA DE 1 1/2 X 1/8""",H0686,"PLATINA DE 1 1/2 X 1/8""",UND,Inventario
REDUCCION PEGABLE 1 X 3/4 LASCO CAMPANA CHARLOT,H0687,REDUCCION PEGABLE 1 X 3/4 LASCO CAMPANA CHARLOT,UND,Inventario
"REDUCCION HN RANURADA 3X2""",H0688,"REDUCCION HN RANURADA 3X2""",UND,Inventario
"BROCA P CONCRETO 5/8""",H0689,"BROCA P CONCRETO 5/8""",UND,Inventario
PEGAMENTO PVC C ARROW NAR 950 ML,H0690,PEGAMENTO PVC C ARROW NAR 950 ML,UND,Inventario
REDUCCION PEGABLE DE 1 1/4 X 1,H0691,REDUCCION PEGABLE DE 1 1/4 X 1,UND,Inventario
REDUCCION PEGABLE DE 1 X 1/2,H0692,REDUCCION PEGABLE DE 1 X 1/2,UND,Inventario
CODO HG 150 ULFM 45X1,H0693,CODO HG 150 ULFM 45X1,UND,Inventario
TEE HG 1/2,H0694,TEE HG 1/2,UND,Inventario
NEPLO HG DE 1/2 CON CINTURA,H0695,NEPLO HG DE 1/2 CON CINTURA,UND,Inventario
ADAPTADOR P-MA HEMBRA ,H0696,ADAPTADOR P-MA HEMBRA ,UND,Inventario
"NEPLO INOX 1/2 X 3""",H0697,"NEPLO INOX 1/2 X 3""",UND,Inventario
LLAVE ANGULAR 1/2 X 1/2 MM ,H0698,LLAVE ANGULAR 1/2 X 1/2 MM ,UND,Inventario
RUEDAS PARA ANDAMIOS,H0699,RUEDAS PARA ANDAMIOS,UND,Inventario
UNION PVC 3/4 PEGABLE TIGRE,H0700,UNION PVC 3/4 PEGABLE TIGRE,UND,Inventario
CODO PVC 45 PEGABLE 3/4 TIGRE,H0701,CODO PVC 45 PEGABLE 3/4 TIGRE,UND,Inventario
PEGA WELD ON TIGRE 237 ML,H0702,PEGA WELD ON TIGRE 237 ML,UND,Inventario
PLACA DECORATIVA PARA ROCIADOR,H0703,PLACA DECORATIVA PARA ROCIADOR,UND,Inventario
"TORNILLOS TIRAFONDOS 1 1/2""",H0704,"TORNILLOS TIRAFONDOS 1 1/2""",UND,Inventario
TACOS FISHER N0.6,H0705,TACOS FISHER N0.6,UND,Inventario
MANGUERA CONTRAINCENDIOS DOBLE CHAQUETA 30 M X 1 1/2,H0706,MANGUERA CONTRAINCENDIOS DOBLE CHAQUETA 30 M X 1 1/2,UND,Inventario
GABINETE SOBREPUESTO HN 70X22,H0707,GABINETE SOBREPUESTO HN 70X22,UND,Inventario
"LLAVE SPANER 2 1/2 X 1/2""",H0708,"LLAVE SPANER 2 1/2 X 1/2""",UND,Inventario
SIFON ACORDEON MAS REJILLA E 2460 ,H0709,SIFON ACORDEON MAS REJILLA E 2460 ,UND,Inventario
SIFON ACORDEON EDESA + REJILLA INOX 1 1/2 ,H0710,SIFON ACORDEON EDESA + REJILLA INOX 1 1/2 ,UND,Inventario
TUBO ABASTO 5/8 X 1/2 SANITARIOS 40 H-M FV E 2750,H0711,TUBO ABASTO 5/8 X 1/2 SANITARIOS 40 H-M FV E 2750,UND,Inventario
ABRAZADERA EMT 3/4 LUXAR,H0712,ABRAZADERA EMT 3/4 LUXAR,UND,Inventario
CODO PEGABLE TIGRE 50X90,H0713,CODO PEGABLE TIGRE 50X90,UND,Inventario
"BUSHING HN ULFM 2 1/2X 2""",H0714,"BUSHING HN ULFM 2 1/2X 2""",UND,Inventario
CAJA METAL CARGA GAS 35X35X18,H0715,CAJA METAL CARGA GAS 35X35X18,UND,Inventario
VALVULA ALIVIO GAS 1/2 3129G,H0716,VALVULA ALIVIO GAS 1/2 3129G,UND,Inventario
TEE CHECK ACOPLE DOBLE 1 1/4 REGO L7579 ACNE,H0717,TEE CHECK ACOPLE DOBLE 1 1/4 REGO L7579 ACNE,UND,Inventario
CODO INOX 1 1/4 X 90,H0718,CODO INOX 1 1/4 X 90,UND,Inventario
BOQUILLA BRONCE 1/2X 5/8 M PITON RECTA,H0719,BOQUILLA BRONCE 1/2X 5/8 M PITON RECTA,UND,Inventario
PEGA WELD ON 118ML PRETTO TRANSPARENTE,H0720,PEGA WELD ON 118ML PRETTO TRANSPARENTE,UND,Inventario
NEPLO INOX 1 1/2 CON CINTURA,H0721,NEPLO INOX 1 1/2 CON CINTURA,UND,Inventario
"NEPLO AI 3/4 X 4""",H0722,"NEPLO AI 3/4 X 4""",UND,Inventario
"NUDO AI ROSCABLE 3/4""",H0723,"NUDO AI ROSCABLE 3/4""",UND,Inventario
"NEPLO AI 1X6""",H0724,"NEPLO AI 1X6""",UND,Inventario
"VALVULA ESFERICA A/I ROSCABLE P/T 2 CPS 3/4""",H0725,"VALVULA ESFERICA A/I ROSCABLE P/T 2 CPS 3/4""",UND,Inventario
"VALVULA CHECK YORK 103 BR 1/2""",H0726,"VALVULA CHECK YORK 103 BR 1/2""",UND,Inventario
TE ACOPLE DESCARGA 1 3/4 X 1 NPT REGO,H0727,TE ACOPLE DESCARGA 1 3/4 X 1 NPT REGO,UND,Inventario
VALVULA CHECK VERTICAL DE 1 1/4,H0728,VALVULA CHECK VERTICAL DE 1 1/4,UND,Inventario
ADAPTADOR PEGABLE 1 1/2 M LASCO,H0729,ADAPTADOR PEGABLE 1 1/2 M LASCO,UND,Inventario
VALVULA ESFERA GAS 1/2 MARIPOSA H/H ITAP,H0730,VALVULA ESFERA GAS 1/2 MARIPOSA H/H ITAP,UND,Inventario
TERMOTANQUE GAS PISO 40 GALONES RHEEM,H0731,TERMOTANQUE GAS PISO 40 GALONES RHEEM,UND,Inventario
ACEITE WW 40 SPRAY 5.50 ONZAS,H0732,ACEITE WW 40 SPRAY 5.50 ONZAS,UND,Inventario
PERMAX S 1.5 MM MILIPUNTI CONFECCIONADO,H0733,PERMAX S 1.5 MM MILIPUNTI CONFECCIONADO,UND,Inventario
CODO TF ADAPTADOR H 90 25X3/4 TIGRE,H0734,CODO TF ADAPTADOR H 90 25X3/4 TIGRE,UND,Inventario
TEE PVC DAPATADOR PRESION PEGRABLE ROSCABLE 32X3/4,H0735,TEE PVC DAPATADOR PRESION PEGRABLE ROSCABLE 32X3/4,UND,Inventario
NUDO AI ROSCABLE 1 1/4,H0736,NUDO AI ROSCABLE 1 1/4,UND,Inventario
GRILLETE GALVANIZADO CABLE 3-16,H0737,GRILLETE GALVANIZADO CABLE 3-16,UND,Inventario
CORTADOR TUBO 1X1/8 ACOBRE,H0738,CORTADOR TUBO 1X1/8 ACOBRE,UND,Inventario
VALVULA DE SERVICIO,H0739,VALVULA DE SERVICIO,UND,Inventario
"VALVULA DE ALIVIO-SEGURIDAD 1"" 8684G",H0740,"VALVULA DE ALIVIO-SEGURIDAD 1"" 8684G",UND,Inventario
NEPLOINOX 1 1/4X4,H0741,NEPLOINOX 1 1/4X4,UND,Inventario
