nombre,codigo,descripcion,tipo_unidad,tipo
BROCA CONCRETO 3/8X10 CM,H1260,BROCA CONCRETO 3/8X10 CM,UND,Inventario
TAPON COBRE DE 1/2,H1261,TAPON COBRE DE 1/2,UND,Inventario
PITON GAS DE 1/2,H1262,PITON GAS DE 1/2,UND,Inventario
"ADAPTADOR PARA TANQUE 2""",H1263,"ADAPTADOR PARA TANQUE 2""",UND,Inventario
BUSHING INOX DE 3 A 2 ,H1264,BUSHING INOX DE 3 A 2 ,UND,Inventario
PERNO DE ANCLAJE 3/8 X 2 1/2,H1265,PERNO DE ANCLAJE 3/8 X 2 1/2,UND,Inventario
ESPUMA DE CONSTRUCCION 500 ML,H1266,ESPUMA DE CONSTRUCCION 500 ML,UND,Inventario
VALVULA MARIPOSA,H1267,VALVULA MARIPOSA,UND,Inventario
CLAVO DE ACERO DE 22 MM PENDEL COLOR VERDE PARA PISTOLA,H1268,CLAVO DE ACERO DE 22 MM PENDEL COLOR VERDE PARA PISTOLA,UND,Inventario
"CODO SO SO 1/2"" X 90 º",H1269,"CODO SO SO 1/2"" X 90 º",UND,Inventario
NEPLO AI 1 1/4X 8,H1270,NEPLO AI 1 1/4X 8,UND,Inventario
ABRAZADERA AZUL 25 DE 3/4,H1271,ABRAZADERA AZUL 25 DE 3/4,UND,Inventario
TUBO PVC 160 MM X 6 M,H1272,TUBO PVC 160 MM X 6 M,UND,Inventario
TUBO TF 32 MM X 4 M TORO,H1273,TUBO TF 32 MM X 4 M TORO,UND,Inventario
CALEFON RCA 26 LITROS,H1274,CALEFON RCA 26 LITROS,UND,Inventario
NEPLO HN CED 40 2 X 30 CM,H1275,NEPLO HN CED 40 2 X 30 CM,UND,Inventario
BROCA PARA ROTOMARTILLO 1/2X10,H1276,BROCA PARA ROTOMARTILLO 1/2X10,UND,Inventario
BOMBA PEROFERICA PKM80 1 HP 220V 1X1 PEDROLO,H1277,BOMBA PEROFERICA PKM80 1 HP 220V 1X1 PEDROLO,UND,Inventario
"ELECTROVALVULA 2-2 "" 2W AIRE/AGUA",H1278,"ELECTROVALVULA 2-2 "" 2W AIRE/AGUA",UND,Inventario
ROCIADOR AUTOMATICO PARED PLATEADO 1/2,H1279,ROCIADOR AUTOMATICO PARED PLATEADO 1/2,UND,Inventario
REDUCCION CONICA 1 1/2 X 1/2,H1280,REDUCCION CONICA 1 1/2 X 1/2,UND,Inventario
TERMOFUND,H1281,TERMOFUND,UND,Inventario
REGULADOR 1ERA ETAPA 55 KG ROJO,H1282,REGULADOR 1ERA ETAPA 55 KG ROJO,UND,Inventario
VALVULA TF BOLA 63 MM,H1283,VALVULA TF BOLA 63 MM,UND,Inventario
TANQUE TIPO BOTELLA 1100 LT AZUL,H1284,TANQUE TIPO BOTELLA 1100 LT AZUL,UND,Inventario
LLAVE CROMADA FV 1/2,H1285,LLAVE CROMADA FV 1/2,UND,Inventario
CRUZ HN RANURADA RECOMB 2 1/2,H1286,CRUZ HN RANURADA RECOMB 2 1/2,UND,Inventario
TAPON INOX 1/2 H,H1287,TAPON INOX 1/2 H,UND,Inventario
REGULADOR 2DA 17 KG 1/2X1/2 RECA 988LP-03 VERDE,H1288,REGULADOR 2DA 17 KG 1/2X1/2 RECA 988LP-03 VERDE,UND,Inventario
TUBO TF 25 MM X 6M AZUL,H1289,TUBO TF 25 MM X 6M AZUL,UND,Inventario
REGULADOR 1RA 1/4 X 1/4 REGO,H1290,REGULADOR 1RA 1/4 X 1/4 REGO,UND,Inventario
CODO SOSO 3/4 X 90 NIBCO,H1291,CODO SOSO 3/4 X 90 NIBCO,UND,Inventario
ADAPTADOR HEMBRA 3/4,H1292,ADAPTADOR HEMBRA 3/4,UND,Inventario
MEDIDOR DE GAS 2.5 M3 DERECHO E IZQUIERDO,H1293,MEDIDOR DE GAS 2.5 M3 DERECHO E IZQUIERDO,UND,Inventario
BUJE PVC LARGO PRESION 50X25MM,H1294,BUJE PVC LARGO PRESION 50X25MM,UND,Inventario
ANGULO HN 1 1/2 X 1/8,H1295,ANGULO HN 1 1/2 X 1/8,UND,Inventario
"COLGADOR PERA 4""",H1296,"COLGADOR PERA 4""",UND,Inventario
CALEFON ELECTRICO RADIANCE 11KV 220 V,H1297,CALEFON ELECTRICO RADIANCE 11KV 220 V,UND,Inventario
EMPAQUE GAS PLANO,H1298,EMPAQUE GAS PLANO,UND,Inventario
"TRA 1/2 TEFLON TIPO ALEMAN ROLLO 1/2""",H1299,"TRA 1/2 TEFLON TIPO ALEMAN ROLLO 1/2""",UND,Inventario
REGULADOR RECA 904 40 KG ETAPA 15,H1300,REGULADOR RECA 904 40 KG ETAPA 15,UND,Inventario
5GG TUERCA ACERO GALVANIZADA MILIMETRICA,H1301,5GG TUERCA ACERO GALVANIZADA MILIMETRICA,UND,Inventario
VALVULA ADMISION BRIGS PILOTEADA,H1302,VALVULA ADMISION BRIGS PILOTEADA,UND,Inventario
TIRAFONDOS DE 1/4 X 2 1/2,H1303,TIRAFONDOS DE 1/4 X 2 1/2,UND,Inventario
CODO TF 90X25 MM AZUL,H1304,CODO TF 90X25 MM AZUL,UND,Inventario
PANEL SOLAR PARA PISCINA IBAX CONFORTLINE,H1305,PANEL SOLAR PARA PISCINA IBAX CONFORTLINE,UND,Inventario
"TUBO AC 6""",H1306,"TUBO AC 6""",UND,Inventario
"ADAPTADOR PVC P/TANQUE ROSC 1/2""",H1307,"ADAPTADOR PVC P/TANQUE ROSC 1/2""",UND,Inventario
TUBO TF 20 MM X 6M AZUL,H1308,TUBO TF 20 MM X 6M AZUL,UND,Inventario
TUBO PVC CED 40 PEGABLE 3/4,H1309,TUBO PVC CED 40 PEGABLE 3/4,UND,Inventario
CODO GAS AMARILLO 20X90 H METAL,H1310,CODO GAS AMARILLO 20X90 H METAL,UND,Inventario
CONTACTOR IBAMP 220V,H1311,CONTACTOR IBAMP 220V,UND,Inventario
BOMBA JET 1HP 120V TRUPER,H1312,BOMBA JET 1HP 120V TRUPER,UND,Inventario
DADO MAGNETICO  5-16,H1313,DADO MAGNETICO  5-16,UND,Inventario
"ADAPTADOR TF M 63X2""",H1314,"ADAPTADOR TF M 63X2""",UND,Inventario
CODO INOX 1 X 90,H1315,CODO INOX 1 X 90,UND,Inventario
