nombre,codigo,descripcion,tipo_unidad,venta,,,
"UNION TF  32"" TIGRE",H0180,"UNION TF  32"" TIGRE",UND,,,,
PINTURA TAN ROJO FIESTA LITRO,H0181,PINTURA TAN ROJO FIESTA LITRO,UND,,,,
PINTURA TAN BLANCO MATE,H0182,PINTURA TAN BLANCO MATE,UND,,,,
"BROCHA FUTURA 2""",H0183,"BROCHA FUTURA 2""",UND,,,,
"CEPILLO A/AC.MANGO 5X15X1""",H0184,"CEPILLO A/AC.MANGO 5X15X1""",UND,,,,
BUJE TF 32X20MM,H0185,BUJE TF 32X20MM,UND,,,,
UNIVERSAL TF 20X1/2,H0186,UNIVERSAL TF 20X1/2,UND,,,,
TAPON TF H 20 MM ROSCADO,H0187,TAPON TF H 20 MM ROSCADO,UND,,,,
CODO ADAPTADORN 90 H 25X1/2,H0188,CODO ADAPTADORN 90 H 25X1/2,UND,,,,
"ADAPTADOR TF M 32X3/4""",H0189,"ADAPTADOR TF M 32X3/4""",UND,,,,
"TAPON HEMBRA DE 1/2""",H0190,"TAPON HEMBRA DE 1/2""",UND,,,,
"UNION PVC 2""",H0191,"UNION PVC 2""",UND,,,,
"UNION PVC 1 1/4""",H0192,"UNION PVC 1 1/4""",UND,,,,
UNION PVC LASCO ROSCABLE H 1 1/2,H0193,UNION PVC LASCO ROSCABLE H 1 1/2,UND,,,,
"UNION PVC LASCO ROSCABLE M 1 1/4""",H0194,"UNION PVC LASCO ROSCABLE M 1 1/4""",UND,,,,
"UNION PVC TIGRE 1""",H0195,"UNION PVC TIGRE 1""",UND,,,,
REDUCTOR TIGRE 63X32 PRESION,H0196,REDUCTOR TIGRE 63X32 PRESION,UND,,,,
"UNION PVC ROSCA 25X3/4""",H0197,"UNION PVC ROSCA 25X3/4""",UND,,,,
"UNION PVC ROSCA H 20X1/2""",H0198,"UNION PVC ROSCA H 20X1/2""",UND,,,,
"CODO A/C CED40 X 1 1/4""",H0199,"CODO A/C CED40 X 1 1/4""",UND,,,,
"UNION PVC CED 40 1/2"" TIGRE",H0200,"UNION PVC CED 40 1/2"" TIGRE",UND,,,,
"TUBO A/C CED 40 S/C P/S 2""X6 METROS",H0201,"TUBO A/C CED 40 S/C P/S 2""X6 METROS",UND,,,,
"TEE MECANICA ROSC. RECOMB UL/FM 2""X1 1/4""",H0202,"TEE MECANICA ROSC. RECOMB UL/FM 2""X1 1/4""",UND,,,,
"BUSHING H/N ULF 1 1/4 X 1""",H0203,"BUSHING H/N ULF 1 1/4 X 1""",UND,,,,
"NEPLO A/C C/80 1/2""X5""",H0204,"NEPLO A/C C/80 1/2""X5""",UND,,,,
"NEPLO A/C C/40 1/2""X8""",H0205,"NEPLO A/C C/40 1/2""X8""",UND,,,,
"UNION H/N UL/FM 1/2""",H0206,"UNION H/N UL/FM 1/2""",UND,,,,
"UNION HN RANUR FLEXIBLE 2""",H0207,"UNION HN RANUR FLEXIBLE 2""",UND,,,,
"CODO PVC 90 CED 40 PEG/ROSC 1/2"" TIGRE",H0208,"CODO PVC 90 CED 40 PEG/ROSC 1/2"" TIGRE",UND,,,,
"TAPON PVC H CED 40 E/C 1/2"" LASCO",H0209,"TAPON PVC H CED 40 E/C 1/2"" LASCO",UND,,,,
CEPILLO ALEMAN DE ACERO,H0210,CEPILLO ALEMAN DE ACERO,UND,,,,
"BROCHA 2""",H0211,"BROCHA 2""",UND,,,,
"BROCHA 3""",H0212,"BROCHA 3""",UND,,,,
GUANTE CORRUGADO DE LATEX TALLA M,H0213,GUANTE CORRUGADO DE LATEX TALLA M,UND,,,,
"DISCO DE CORTE METALICO INDUSTRIAL 4 1/2""",H0214,"DISCO DE CORTE METALICO INDUSTRIAL 4 1/2""",UND,,,,
"DISCO DE CORTE METALICO INDUSTRIAL 4.5""",H0215,"DISCO DE CORTE METALICO INDUSTRIAL 4.5""",UND,,,,
LIJA NUMERO 60 J 83,H0216,LIJA NUMERO 60 J 83,UND,,,,
"GRILLETE PARA CABLE 5/16""",H0217,"GRILLETE PARA CABLE 5/16""",UND,,,,
CABLE DE ACERO CON ALMA DE ACERO 3/16,H0218,CABLE DE ACERO CON ALMA DE ACERO 3/16,UND,,,,
ELECTRODOS 613-1,H0219,ELECTRODOS 613-1,UND,,,,
MEDIDOR AGUA/FRIA CONTADOR GENEBRE,H0220,MEDIDOR AGUA/FRIA CONTADOR GENEBRE,UND,,,,
"REDUCCION A/C 2"" X 1""",H0221,"REDUCCION A/C 2"" X 1""",UND,,,,
"UNION RANURADA FLEXIBLE RECOMB DE 1 1/2""",H0222,"UNION RANURADA FLEXIBLE RECOMB DE 1 1/2""",UND,,,,
"COLGADOR PERA A/G 1 1/2""",H0223,"COLGADOR PERA A/G 1 1/2""",UND,,,,
"COLGADOR PERA A/G 2""",H0224,"COLGADOR PERA A/G 2""",UND,,,,
ALAMBRE DE AMARRE N0. 18 KILO,H0225,ALAMBRE DE AMARRE N0. 18 KILO,UND,,,,
"CLAVO A/C GALVANIZADO 9X25"" 500G 196 UNIDADES",H0226,"CLAVO A/C GALVANIZADO 9X25"" 500G 196 UNIDADES",UND,,,,
PINTURA SPRAY AMARILLA,H0227,PINTURA SPRAY AMARILLA,UND,,,,
"REDUCCION RANURADA DE 2X1 1/2""",H0228,"REDUCCION RANURADA DE 2X1 1/2""",UND,,,,
TUBO TF PP3 50 MMX6M,H0229,TUBO TF PP3 50 MMX6M,UND,,,,
"BUJE TF 50X32""",H0230,"BUJE TF 50X32""",UND,,,,
"ARANDELA PLNANA DE ACERO DE 1/2""",H0231,"ARANDELA PLNANA DE ACERO DE 1/2""",UND,,,,
BROCA DE COBALTO 3/16,H0232,BROCA DE COBALTO 3/16,UND,,,,
CABO DE MEDIA,H0233,CABO DE MEDIA,UND,,,,
BROCA DE 9 NIVELES 4 MM,H0234,BROCA DE 9 NIVELES 4 MM,UND,,,,
"SIERRA COPA 2""",H0235,"SIERRA COPA 2""",UND,,,,
EJE PARA SIERRA COPA RHUNO,H0236,EJE PARA SIERRA COPA RHUNO,UND,,,,
TELA LISTADA DE 3.8 METROS,H0237,TELA LISTADA DE 3.8 METROS,UND,,,,
"NEPLO BRONCE 1-2"" CON CINTURA",H0238,"NEPLO BRONCE 1-2"" CON CINTURA",UND,,,,
"REGULADOR DE PRIMERA 25 KG 1/2X3/8""",H0239,"REGULADOR DE PRIMERA 25 KG 1/2X3/8""",UND,,,,
"REDUCCION DE BRONCE DE 1/2X3/8""",H0240,"REDUCCION DE BRONCE DE 1/2X3/8""",UND,,,,
"BUSHING INOX DE 1X1/2""",H0241,"BUSHING INOX DE 1X1/2""",UND,,,,
"REDUCTOR RANURAR 2X1/2""",H0242,"REDUCTOR RANURAR 2X1/2""",UND,,,,
TEE TF 50 MM TIGRE,H0243,TEE TF 50 MM TIGRE,UND,,,,
"UNION RANURADO 1 1-2""",H0244,"UNION RANURADO 1 1-2""",UND,,,,
